round	date	duration_s	params_m	final_loss	tokens_per_s	last_step	notes
round25_deep16	2026-08-16 07:29	1801	75.636	2.520	16632	1460	【否决:限时预算下深度亏损】尾部均值2.530 vs 2.440;深度每步优(1200步2.410 vs 2.480)但tokens 29.9M vs 40.2M,+18%参数不值;8Lx768胜
round26_seq1024	2026-08-16 08:03	1801	63.961	3.034	20935	1820	【否决:padding浪费加剧】尾部均值2.679;无打包下seq1024有67%padding;根源:文档中位仅338token;促使实现序列打包
round27_packed	2026-08-16 08:44	1802	63.961	2.213	22005	1920	【采纳:大赢】尾部均值2.336 vs 2.440(-0.10),400步起全面领先(400:3.14 vs 3.41);序列打包是第二大杠杆
round28_packed_seq1024	2026-08-16 09:22	2122	63.961	2.167	20082	1760	【采纳】尾部均值2.302 vs 2.336(-0.034),逐步全面领先;打包后长上下文纯收益;当前最佳配方
round30_mtp1	2026-08-16 10:18	1803	72.523	3.119	18085	1580	round27配方(PPL9.38最佳:打包+seq640+bs32+value_res+attn_gate+cosine)+mtp1(默认开)作为后续基线;lr_decay_steps 1700预估mtp开销-15%步数;判据改用PPL
round14_accum1	2026-08-16 01:08					99	【无效:未完成】10分钟run在step 99被杀,日志被后续启动覆盖,无可记录指标;checkpoint已删除
round29_confirm	2026-08-16 09:31					199	【无效:未完成】30分钟run在step 199被杀,日志被后续启动覆盖,无可记录指标;checkpoint已删除
round31_mla	2026-08-16 12:06	1802	73.187	3.305	16911	1480	【否决:等时等步双输】MLA替换GQA(kv_lora192+rope32,73.2M);PPL10.52 vs round30的9.66(-8.9%),等步@1480 loss 3.305 vs 3.233,吞吐-6.5%;小尺度下上投影纯增算力,缓存优势未实现(缓存上投影后K/V反比GQA大2.3倍)
round32_mla_docmask	2026-08-16 12:28	603	73.187	3.660	16322	460	MLA基线+doc_mask首秀,460步@10min,PPL17.81;loss口径屏蔽边界位置故结构性偏低,且lr500步衰减到底vs对照锚round31@500(lr仍8.7e-3,loss3.910)存在调度混淆,doc_mask孤立贡献不可测(对照轮round33被用户取消,留待需要时补)
round33_mla_nodoc	2026-08-16 12:42	602	73.187	3.874	16606	480	【doc_mask对照组】同round32配方无doc_mask:PPL20.16 vs round32的17.81(-11.6%),CE差-0.124nats;步数反多480vs460仍输;doc_mask采纳,入run_round.sh基线
